time,base_x,base_y,base_z,base_roll,base_pitch,base_yaw,pallet_x,pallet_y,pallet_z,pallet_roll,pallet_pitch,pallet_yaw
0.002,0.0,0.0,0.11,0,0,0.0,-1.3499999999821484,0.45046611620657173,-5.206435569167882e-05,1.998908745714515e-11,-0.0008253428377434133,1.570796301598749
0.022000000000000006,0.0,0.0,0.11,0,0,0.0,-1.34999999991626,0.4525742954696501,0.002865262031159544,5.837737340644481e-11,-0.009413726648984409,1.570796307063737
0.04200000000000002,0.0,0.0,0.11,0,0,0.0,-1.349999999913786,0.4525405288443609,0.005311948433104422,2.378318125119873e-11,-0.01312603503038043,1.570796307566318
0.06200000000000004,0.0,0.0,0.11,0,0,0.0,-1.3499999999238752,0.45136031952850925,0.004898287800348326,-4.5701383072059546e-11,-0.009571077532360651,1.5707963075466522
0.08200000000000006,0.0,0.0,0.11,0,0,0.0,-1.3499999999399286,0.44898866225195044,0.0008155652645177701,-1.2751653037618444e-10,-0.0017962997418437807,1.5707963074394666
0.10200000000000008,0.0,0.0,0.11,0,0,0.0,-1.3499999999422654,0.44787788908860027,-0.0016496930771821585,-1.1535375636626945e-10,0.002474291746888409,1.570796307378854
0.1220000000000001,0.0,0.0,0.11,0,0,0.0,-1.3499999999423595,0.44778440447107315,-0.0011045148380127174,-6.356912387705678e-11,0.0020496397272013285,1.5707963073722335
0.1420000000000001,0.0,0.0,0.11,0,0,0.0,-1.3499999999395893,0.44799149083270584,0.001697985104177077,-3.089311645845879e-11,0.00609378669039061,1.57079630737428
0.16200000000000012,0.0,0.0,0.11,0,0,0.0,-1.3499999999375665,0.448132955367416,0.005584636145158523,-1.466058281564573e-11,0.013238819882908473,1.5707963073757132
0.18200000000000013,0.0,0.0,0.11,0,0,0.0,-1.3499999999366117,0.4481828604819237,0.009560063429936868,-6.6480601876699836e-12,0.02115816452899926,1.5707963073757774
0.20200000000000015,0.0,0.0,0.11,0,0,0.0,-1.3499999999365864,0.4481461235072292,0.01351332978389555,-2.9040216181897207e-12,0.029319539997126973,1.570796307374623
0.22200000000000017,0.0,0.0,0.11,0,0,0.0,-1.3499999999372585,0.44802700902937553,0.017564394989634448,-1.1006590489610421e-12,0.03777944819853016,1.5707963073720315
0.2420000000000002,0.0,0.0,0.11,0,0,0.0,-1.3499999999383945,0.4478520921699356,0.021816222705770227,-3.7730435018053556e-13,0.04670193151850338,1.5707963073677744
0.2620000000000002,0.0,0.0,0.11,0,0,0.0,-1.349999999949084,0.4476095700476458,0.026382594005021142,-1.9953820848530086e-13,0.05625295539884595,1.5707963073805882
0.2820000000000002,0.0,0.0,0.11,0,0,0.0,-1.349999999966721,0.4472450233005223,0.031179866640446578,5.26727218044124e-14,0.06681817385800344,1.5707963074022862
0.3020000000000002,0.0,0.0,0.11,0,0,0.0,-1.3499999999881767,0.44678195156021966,0.03667557414530741,-1.7644001658143268e-14,0.0781887148659673,1.5707963074292657
0.32200000000000023,0.0,0.0,0.11,0,0,0.0,-1.3500000000146755,0.4461454526673842,0.04261496306603533,-1.2679068038802082e-13,0.09091433117721398,1.57079630746059
0.34200000000000025,0.0,0.0,0.11,0,0,0.0,-1.3500000000457715,0.44536293807288785,0.04915053877991705,5.815625857947672e-13,0.10493304994257895,1.5707963074947642
0.36200000000000027,0.0,0.0,0.11,0,0,0.0,-1.350000000076881,0.4444684254505025,0.0566395286119482,1.0519992151647083e-12,0.12070258896250187,1.5707963075343367
0.3820000000000003,0.0,0.0,0.11,0,0,0.0,-1.3500000000318526,0.4480040556988607,0.06153688356794673,1.8914761320165465e-09,0.12934702458733496,1.5707963106138276
0.4020000000000003,0.0,0.0,0.11,0,0,0.0,-1.349999999995464,0.452390125435441,0.06236564681761286,4.466035277235708e-09,0.1335277954364212,1.5707963141822592
0.4220000000000003,0.0,0.0,0.11,0,0,0.0,-1.3499999998787888,0.45719723273367885,0.05943479936777517,5.508215818616577e-09,0.1263789282815359,1.5707963151599373
0.44200000000000034,0.0,0.0,0.11,0,0,0.0,-1.3499999997230832,0.46235269535366136,0.05272208342149372,5.848621350505629e-09,0.10998049069495734,1.5707963149104591
0.46200000000000035,0.0,0.0,0.11,0,0,0.0,-1.3499999995522578,0.46764597353005044,0.04216030474708875,5.9479740881466165e-09,0.08998195400054425,1.5707963142080397
0.4820000000000004,0.0,0.0,0.11,0,0,0.0,-1.3499999993514709,0.47344878127013623,0.027915562036767094,5.701220691690037e-09,0.05702196018534643,1.5707963127116513
0.5020000000000003,0.0,1.749361972793625e-05,0.11,0,0,-1.3779927494091842e-05,-1.349999999143303,0.47936640971435224,0.00986204301933813,5.470776531445763e-09,0.02130087396351664,1.5707963110946348
0.5220000000000004,2.755000877518771e-07,0.0010906172271295056,0.11,0,0,-0.0008549220971862692,-1.3499999989668872,0.48424892774629713,-0.0058243150358419215,4.48198582817118e-09,-0.01389511419436001,1.5707963095516788
0.5420000000000004,3.1312268469426676e-06,0.0036104047854313855,0.11,0,0,-0.0028158545948959017,-1.3499999989378173,0.4849141332420753,-0.005608975274346725,2.5384270195309632e-09,-0.012791997191593395,1.5707963093648343
0.5620000000000004,1.2910692126884285e-05,0.0073416276333552865,0.11,0,0,-0.005695876544516749,-1.3499999989328735,0.4849664009114652,-0.003278774810790159,1.2948538988391748e-09,-0.007378727752230248,1.570796309353897
0.5820000000000004,3.4503053983964256e-05,0.012084088877546107,0.11,0,0,-0.00932419116967024,-1.3499999989318785,0.48496836580043456,-0.0017120258799610277,6.377109290302186e-10,-0.003799263634203474,1.5707963093545254
0.6020000000000004,7.240439964820217e-05,0.01766721555511459,0.11,0,0,-0.013555376852795061,-1.3499999989317433,0.4849680923073196,-0.0008667556454471353,3.117684214416476e-10,-0.001871400661413057,1.5707963093552928
0.6220000000000004,0.00013022998524034158,0.023945457199584585,0.11,0,0,-0.018265538480699034,-1.349999998931742,0.48496809380249867,-0.00044047879671798223,1.5097476821297043e-10,-0.0008983588553946149,1.570796309355545
0.6420000000000005,0.00021051032001184554,0.030794398332167315,0.11,0,0,-0.023349052360487108,-1.3499999989317546,0.4849681827944671,-0.0002320334184095518,7.258992734613885e-11,-0.0004287623969974413,1.5707963093556037
0.6620000000000005,0.00031465959664537927,0.038107492556414956,0.11,0,0,-0.028715823162719704,-1.349999998931767,0.48496826669698184,-0.00013282942992278262,3.543865574398821e-11,-0.00020935032875300823,1.570796309355617
0.6820000000000005,0.00044304352886932903,0.04579333043029704,0.11,0,0,-0.03428897808179972,-1.3499999989317744,0.48496831559149073,-8.484704468463351e-05,1.7739544976993704e-11,-0.00010487680573011506,1.5707963093556199
0.7020000000000005,0.0005950998432916973,0.0537733602663861,0.11,0,0,-0.04000293097006156,-1.3499999989317781,0.4849683404515708,-6.1019574957621796e-05,9.02173031237484e-12,-5.335788715520147e-05,1.5707963093556203
0.7220000000000005,0.0007694821395655399,0.061979989281592374,0.11,0,0,-0.04580175708358168,-1.3499999989317804,0.4849683528986418,-4.898149984842962e-05,4.625912141173593e-12,-2.736265119850304e-05,1.5707963093556199
0.7420000000000005,0.0009642092812420979,0.07035500128545388,0.11,0,0,-0.051637826883863716,-1.3499999989317808,0.4849683591949892,-4.2843194623757746e-05,2.381405811241041e-12,-1.4086067482572156e-05,1.5707963093556214
0.7620000000000006,0.0011768098501979067,0.0788482358114623,0.11,0,0,-0.05747065477965312,-1.3499999989317808,0.4849683624115435,-3.9698709710109534e-05,1.2282737756999228e-12,-7.26479785795641e-06,1.5707963093556214
0.7820000000000006,0.0014044558574899213,0.08741648188579029,0.11,0,0,-0.06326592556486088,-1.3499999989317808,0.4849683640642724,-3.808421969126695e-05,6.340919068613745e-13,-3.7501068053402657e-06,1.5707963093556212
0.8020000000000006,0.001644082796477485,0.09602254725123867,0.11,0,0,-0.06899466748788576,-1.3499999989317808,0.48496836491594586,-3.725436366560159e-05,3.274906586799079e-13,-1.936652523072747e-06,1.5707963093556212
0.8220000000000006,0.0018924948878294003,0.10463447068327664,0.11,0,0,-0.07463254631655186,-1.3499999989317808,0.48496836535542837,-3.6827580797209146e-05,1.6917673477872952e-13,-1.000350728318286e-06,1.5707963093556212
0.8420000000000006,0.0021464554222289855,0.1132248509907598,0.11,0,0,-0.08015925943552239,-1.3499999989317808,0.484968365582356,-3.660803320323494e-05,8.740473785703191e-14,-5.167719150211882e-07,1.5707963093556212
0.8620000000000007,0.0024027627273311785,0.12177027138607639,0.11,0,0,-0.08555801296146365,-1.3499999989317808,0.4849683656995655,-3.649507724195391e-05,4.515879356220949e-14,-2.669737803646433e-07,1.5707963093556203
0.8820000000000007,0.0026583126419593038,0.13025080217930274,0.11,0,0,-0.09081506814259738,-1.3499999989317808,0.4849683657601134,-3.643695809252831e-05,2.333251129750206e-14,-1.3792722275451786e-07,1.570796309355621
0.9020000000000007,0.002910148577336254,0.1386495682666634,0.11,0,0,-0.09591934599522804,-1.3499999989317808,0.48496836579139324,-3.640705305422789e-05,1.2057203467328155e-14,-7.125860252095753e-08,1.5707963093556212
0.9220000000000007,0.0031555003445503894,0.1469523707288247,0.11,0,0,-0.1008620812981251,-1.3499999989317808,0.48496836580755326,-3.6391665233149454e-05,6.228661982254916e-15,-3.6815239804798914e-08,1.5707963093556205
0.9420000000000007,0.003391812965505129,0.15514735411943054,0.11,0,0,-0.10563651879413423,-1.3499999989317808,0.4849683658159022,-3.638374726400409e-05,3.2182451419891245e-15,-1.9020394142585464e-08,1.5707963093556203
0.9620000000000007,0.0036167666818707166,0.16322471279884704,0.11,0,0,-0.1102376458109268,-1.3499999989317808,0.4849683658202156,-3.63796729688463e-05,1.6619348163483357e-15,-9.826801482821835e-09,1.57079630935562
