iteration,reward_per_step
0,-1.9998395065947856
1,-1.8192792346668079
2,-1.229589949696121
3,-1.0974149225064798
4,-0.9500113117880786
5,-0.6499200592741066
6,-0.5520994625052489
7,-0.49305138084596956
8,-0.44196369526011503
9,-0.3906002830226497
10,-0.38156145211871295
11,-0.37685105863430224
12,-0.36234455534782206
13,-0.3592499202301176
14,-0.34586788922150846
15,-0.33892405966972194
16,-0.345257219016326
17,-0.3368694298135531
18,-0.3268621127489414
19,-0.3256575526237362
20,-0.32185776916860853
21,-0.3160828604798597
22,-0.3116698804293717
23,-0.309369036891706
24,-0.3068690963384272
25,-0.30482660284532814
26,-0.30254232502756656
27,-0.3008427609835608
28,-0.30080624279489493
29,-0.2968045565973052
30,-0.2957844308799264
