time,bx,by,bz,qw,qx,qy,qz,drive,steer,stage,lift1,lift2,tilt,reach,px,py,pz
0.0005,3.493085330010871e-07,-2.460225974611231e-08,-6.238769014168908e-08,0.9999999999999986,-1.0569347338691034e-08,4.6718426658471117e-08,2.2093303682757325e-08,-1.2,-1.2,0,0,0,0,0,-1.5,0.0,0.35
0.020500000000000015,6.84203868983128e-05,-2.2574357551620057e-07,-1.4619220932688446e-05,0.9999999973128832,-1.8490504013816064e-07,-7.330873840140203e-05,-1.6950152320013247e-07,-1.2,-1.2,0,0,0,0,0,-1.5,-3.430960172935352e-20,0.3499903930928337
0.04050000000000003,-0.00023082379788672163,-2.05065099199311e-07,-2.9305134768312786e-05,0.9999999945145871,-1.0470637056085629e-07,0.00010474160388566793,-1.0920737011817158e-07,-1.2,-1.2,0,0,0,0,0,-1.5,-9.617347035811236e-20,0.34997890611296
0.06050000000000005,-2.2289476544257014e-05,-4.385747679027121e-07,-3.907798087168956e-05,0.99999996958636,4.551230056532368e-08,-0.00024663185663379366,6.280874106737602e-08,-1.2,1.2,0,0,0,0,0,-1.5,5.4787564741312e-19,0.3499716411008607
0.08050000000000006,-0.0006033516600880011,-9.18781266449437e-07,-4.3720484585310275e-05,0.9999999989871291,2.374679774335926e-07,4.500746820899449e-05,-1.0759448557422004e-07,-1.2,-1.2,0,0,0,0,0,-1.5,3.811436242884343e-18,0.3499676835304165
0.10050000000000008,-0.0007510011999131786,-6.984032604782894e-07,-4.625324302070843e-05,0.9999999919259601,1.1609172296133021e-07,-0.00012707497094450332,-1.3140015629225703e-07,-1.2,1.2,0,0,0,0,0,-1.5,1.6367001639912654e-17,0.34996564668337043
0.1205000000000001,-0.0011044220872342355,-1.666831690050239e-08,-4.7789171946453914e-05,0.9999999858297713,-8.742896120406128e-09,-0.00016834622114797378,-7.112282887179894e-08,-1.2,1.2,0,0,0,0,0,-1.5,1.7681590974739074e-17,0.34996462423810876
0.1405000000000001,-0.0018337210632946338,5.672193642465359e-07,-4.7833580270891756e-05,0.9999999974118792,-1.3893890412155047e-07,7.194555011164099e-05,-2.4375609358787593e-07,-1.2,-1.2,0,0,0,0,0,-1.5,2.124901477615424e-17,0.3499641169513933
0.16050000000000011,-0.002092641467218624,7.520342204835475e-07,-4.851859817520631e-05,0.9999999848599348,-7.884147579843617e-08,-0.0001740118424570298,-5.493247213784547e-08,-1.2,1.2,0,0,0,0,0,-1.5,3.018859183005149e-17,0.34996386666749707
0.18050000000000013,-0.002861377304183375,1.8076047495113352e-06,-4.881708063782423e-05,0.9999999997096676,-2.29019062158727e-08,-2.409536338952739e-05,-2.784454296767008e-07,-1.2,-1.2,0,0,0,0,0,-1.5,4.39088982591278e-17,0.3499637435193156
0.20050000000000015,-0.0032139727957408892,2.3557061650528455e-06,-4.8849568274970754e-05,0.9999999510574835,-4.099347191381699e-08,-0.00031286523667213014,-6.111748326028324e-07,-1.2,-1.2,0,0,0,0,0,-1.5,4.76396583945755e-17,0.3499636830070817
0.22050000000000017,-0.00424623517617583,3.1112626515430183e-06,-4.9048103438333076e-05,0.9999999994609047,7.597750968056317e-08,-3.283217655295682e-05,4.839189686747543e-07,-1.2,1.2,0,0,0,0,0,-1.5,4.8061730845500787e-17,0.34996365329223195
0.24050000000000019,-0.005182176131671337,3.1803877664700084e-06,-4.8847836069979506e-05,0.999999994212964,4.3818539721813027e-07,0.0001070689070920008,1.049422343466363e-05,-1.2,1.2,0,0,0,0,0,-1.5,4.4641642365410287e-17,0.3499636387053058
0.2605000000000002,-0.005765776506541969,7.114282474849861e-06,-4.914336291153053e-05,0.9999999873135665,-7.086531425144455e-07,-0.00015922602412561844,-4.408832744669656e-06,-1.2,-1.2,0,0,0,0,0,-1.5,4.250165935976302e-17,0.3499636315457668
0.2805000000000002,-0.0071172034805724455,6.844796701431494e-06,-4.884457305982557e-05,0.9999999825269937,3.535695445162862e-07,0.00018693018095934568,-1.7305971526429626e-06,-1.2,-1.2,0,0,0,0,0,-1.5,4.063463153442707e-17,0.3499636280320043
0.3005000000000002,-0.007384756687751972,8.795790236328988e-06,-4.9482293087535075e-05,0.9999998695362999,-1.1039433491274261e-07,-0.0005108104916264636,-1.1310808514149164e-07,-1.2,1.2,0,0,0,0,0,-1.5,3.9689323105528025e-17,0.34996362630758443
0.32050000000000023,-0.009053853181047624,9.358612280848256e-06,-4.835377455260564e-05,0.9999999998642324,-2.1614534153940146e-07,-1.6476444594864758e-05,-1.2478159401761137e-07,-1.2,1.2,0,0,0,0,0,-1.5,3.600267661542324e-17,0.34996362546132137
0.34050000000000025,-0.009934793103845796,1.0547142308643862e-05,-4.953078340014614e-05,0.9999999652878373,-3.168890718754632e-07,-0.00026348366247652173,-7.643431929818981e-07,-1.2,-1.2,0,0,0,0,0,-1.5,3.4601815102443817e-17,0.3499636250460198
0.36050000000000026,-0.010998051876702324,1.0926839271582705e-05,-4.901783800797175e-05,0.9999999225478844,-2.627142649710911e-07,-0.00039356437390248607,-3.3526819360033473e-06,-1.2,-1.2,0,0,0,0,0,-1.5,3.2040311296302146e-17,0.3499636248422124
0.3805000000000003,-0.012692340016009772,1.3045523117119453e-05,-4.9492660785206554e-05,0.9999999999924636,-4.445904696166184e-08,3.868765901894158e-06,3.232631945996695e-07,-1.2,1.2,0,0,0,0,0,-1.5,3.1642454049812414e-17,0.34996362474219495
