time,x,y,z,yaw,steer,drive,wp_i
0.0005,0.0,0.0,-8.55877076088466e-08,-1.2266425803736488e-08,0.0,6.956521739130435,1
0.020500000000000015,0.0006284808651730316,-2.583731235763755e-07,-1.8555652677972274e-05,1.7793880317676638e-06,-1.892854187524051e-06,6.956510766062681,1
0.04050000000000003,0.0027508854295155345,-3.305495500361032e-07,-3.902043163491114e-05,5.502384724168093e-06,-6.253561518221318e-06,6.956485486599894,1
0.06050000000000005,0.006065544646734028,-3.3749308785853683e-07,-5.1908448868089025e-05,1.2315634522677144e-05,-1.4323448255737502e-05,6.956438704647793,1
0.08050000000000006,0.010899904879577788,-2.94686473977963e-07,-5.9793321967375526e-05,2.2107818387791437e-05,-2.602199291672491e-05,6.956370886997584,1
0.10050000000000008,0.01707954988356617,-1.6690027727376633e-07,-6.339952858698672e-05,3.4135571483749975e-05,-4.047374130298209e-05,6.95628710874607,1
0.1205000000000001,0.024410371155933298,8.098263885068854e-08,-6.444593029621236e-05,4.78584938887526e-05,-5.7047110453645184e-05,6.956191031243747,1
0.1405000000000001,0.03272685150698784,4.813608328185885e-07,-6.422945030694981e-05,6.286286438440414e-05,-7.526356116152044e-05,6.9560854286309475,1
0.16050000000000011,0.0418892008496007,1.0629934567585358e-06,-6.347063996358939e-05,7.882016343602189e-05,-9.47452276015781e-05,6.955972491434194,1
0.18050000000000013,0.051780122296157305,1.8493969873154363e-06,-6.251939117559307e-05,9.554008218292082e-05,-0.00011527557464852123,6.955853474929573,1
0.20050000000000015,0.06229824059474238,2.861778396731594e-06,-6.153204111317377e-05,0.00011289793788018172,-0.00013672118205576567,6.955729152567793,1
0.22050000000000017,0.0733578624538824,4.118860959202998e-06,-6.058107655294122e-05,0.0001307429589137945,-0.00015891589787138115,6.955600487548572,1
0.24050000000000019,0.08488850194939981,5.635765428669125e-06,-5.969559641998616e-05,0.00014893440061322625,-0.00018170300866433562,6.955468388355569,1
0.2605000000000002,0.09683255589529188,7.424641783273425e-06,-5.888139414123295e-05,0.00016735420158673454,-0.0002049515292194215,6.955333614323365,1
0.2805000000000002,0.10914294459536117,9.495250349838121e-06,-5.8133452498074296e-05,0.00018590571878974034,-0.0002285551866618718,6.955196781526598,1
0.3005000000000002,0.12178107025033555,1.1855402755407463e-05,-5.744304735676636e-05,0.00020451002378276583,-0.0002524282352521112,6.955058387042016,1
0.32050000000000023,0.1347151074581793,1.4511299565376117e-05,-5.6801286652585824e-05,0.00022310238501779993,-0.0002765014078834227,6.954918832418067,1
0.34050000000000025,0.14791858243271758,1.7467785167696618e-05,-5.620058336301907e-05,0.00024162932543225863,-0.00030071850923114597,6.954778443424747,1
0.36050000000000026,0.16136919765686814,2.072853264848814e-05,-5.563507239154568e-05,0.0002600462364550649,-0.00032503363817717453,6.9546374861554945,1
0.3805000000000003,0.17504786678765782,2.4296170457108168e-05,-5.510055262964889e-05,0.00027831547257574585,-0.0003494089543927714,6.954496179974535,1
0.4005000000000003,0.1889379311247114,2.8172363151070888e-05,-5.459424729253235e-05,0.0002964048510121011,-0.0003738129044418059,6.954354707800337,1
0.4205000000000003,0.2030245332074279,3.235785849024924e-05,-5.4114515072028415e-05,0.0003142864888602142,-0.00039821883250112933,6.954213224159414,1
0.44050000000000034,0.21729412593284467,3.685251232126251e-05,-5.36605674146404e-05,0.00033193591808199324,-0.00042260391029333986,6.954071861389604,1
0.46050000000000035,0.2317340976734524,4.165530126580039e-05,-5.323221369447738e-05,0.0003493314260361111,-0.0004469483291922316,6.9539307343235235,1
0.48050000000000037,0.24633249561643228,4.676433147674395e-05,-5.2829642004659475e-05,0.000366453576050931,-0.00047123470490646464,6.953789943739673,1
0.5005000000000003,0.2610778311361686,5.2176849874384426e-05,-5.245323714752714e-05,0.00038328486884035926,-0.0004954476518893358,6.953649578829626,1
