steps,reward_per_step
0,-1.999716576520739
10000,-1.9804166226041398
20000,-1.1884857960348023
30000,-1.4822349187932438
40000,-1.6521247949739817
50000,-1.3619763550424981
60000,-1.4613244341658598
70000,-0.738997253669455
80000,-0.43398230509415775
90000,-0.35191968568262666
100000,-0.18979536948201184
110000,-0.1466364186133842
120000,-0.13090896260663273
130000,-0.12302347040696078
140000,-0.11502358357187768
150000,-0.10346257126186366
