run,time,q0,q1
0,0.002,0.86047,-1.44629
0,0.022,0.85494,-1.43499
0,0.042,0.84124,-1.40736
0,0.062,0.81976,-1.36451
0,0.082,0.79087,-1.30723
0,0.102,0.75488,-1.23611
0,0.122,0.71214,-1.15167
0,0.142,0.66301,-1.05446
0,0.162,0.60792,-0.94527
0,0.182,0.54749,-0.82543
0,0.202,0.48261,-0.69718
0,0.222,0.41466,-0.56425
0,0.242,0.34558,-0.43208
0,0.262,0.27777,-0.30743
0,0.282,0.21352,-0.19683
0,0.302,0.15446,-0.10468
0,0.322,0.10126,-0.03247
0,0.342,0.05382,0.02068
0,0.362,0.01164,0.05692
0,0.382,-0.0259,0.07883
0,0.402,-0.05942,0.08899
0,0.422,-0.08946,0.0898
0,0.442,-0.11651,0.08342
0,0.462,-0.14097,0.07176
0,0.482,-0.16318,0.05646
0,0.502,-0.18342,0.03892
0,0.522,-0.20187,0.02028
0,0.542,-0.21869,0.00144
0,0.562,-0.23394,-0.01691
0,0.582,-0.24765,-0.03429
0,0.602,-0.25982,-0.05037
0,0.622,-0.2704,-0.06495
0,0.642,-0.27935,-0.07793
0,0.662,-0.28661,-0.08927
0,0.682,-0.29211,-0.09897
0,0.702,-0.2958,-0.10708
0,0.722,-0.29764,-0.11365
0,0.742,-0.2976,-0.11874
0,0.762,-0.29568,-0.1224
0,0.782,-0.29187,-0.12469
0,0.802,-0.2862,-0.12568
0,0.822,-0.2787,-0.1254
0,0.842,-0.26943,-0.12392
0,0.862,-0.25845,-0.12128
0,0.882,-0.24584,-0.11756
0,0.902,-0.23169,-0.1128
0,0.922,-0.21611,-0.10708
0,0.942,-0.19919,-0.10048
0,0.962,-0.18105,-0.09309
0,0.982,-0.16182,-0.08501
1,0.002,0.07424,2.8303
1,0.022,0.07177,2.82728
1,0.042,0.06567,2.81984
1,0.062,0.05616,2.80816
1,0.082,0.04351,2.79232
1,0.102,0.02797,2.77229
1,0.122,0.00986,2.74796
1,0.142,-0.0105,2.71916
1,0.162,-0.03272,2.68564
1,0.182,-0.05639,2.64714
1,0.202,-0.08106,2.60331
1,0.222,-0.10621,2.55383
1,0.242,-0.13128,2.49834
1,0.262,-0.15565,2.43646
1,0.282,-0.17869,2.36785
1,0.302,-0.19971,2.29213
1,0.322,-0.21805,2.20893
1,0.342,-0.23305,2.11787
1,0.362,-0.24408,2.01856
1,0.382,-0.25058,1.91055
1,0.402,-0.25203,1.79338
1,0.422,-0.24798,1.66654
1,0.442,-0.23808,1.52948
1,0.462,-0.22205,1.38169
1,0.482,-0.19975,1.2228
1,0.502,-0.17126,1.05286
1,0.522,-0.1371,0.87291
1,0.542,-0.09856,0.68604
1,0.562,-0.05818,0.49876
1,0.582,-0.01995,0.32163
1,0.602,0.01168,0.16654
1,0.622,0.0338,0.04117
1,0.642,0.0459,-0.05353
1,0.662,0.04915,-0.12117
1,0.682,0.04527,-0.16669
1,0.702,0.03592,-0.19481
1,0.722,0.02252,-0.20949
1,0.742,0.00627,-0.21401
1,0.762,-0.01181,-0.21105
1,0.782,-0.0309,-0.20286
1,0.802,-0.05027,-0.19126
1,0.822,-0.06935,-0.17773
1,0.842,-0.08767,-0.16344
1,0.862,-0.10485,-0.14929
1,0.882,-0.1206,-0.13589
1,0.902,-0.13473,-0.12367
1,0.922,-0.1471,-0.11286
1,0.942,-0.15762,-0.10355
1,0.962,-0.16626,-0.09571
1,0.982,-0.17303,-0.08924
2,0.002,-1.49773,-1.26622
2,0.022,-1.49081,-1.27252
2,0.042,-1.4736,-1.28727
2,0.062,-1.44656,-1.30863
2,0.082,-1.41014,-1.33452
2,0.102,-1.36475,-1.36274
2,0.122,-1.31084,-1.39095
2,0.142,-1.24888,-1.41668
2,0.162,-1.17946,-1.43733
2,0.182,-1.10335,-1.45018
2,0.202,-1.02156,-1.45241
2,0.222,-0.93546,-1.44113
2,0.242,-0.8468,-1.41343
2,0.262,-0.75777,-1.36647
2,0.282,-0.67089,-1.29755
2,0.302,-0.58892,-1.20416
2,0.322,-0.51462,-1.08415
2,0.342,-0.45036,-0.93593
2,0.362,-0.39763,-0.7593
2,0.382,-0.35599,-0.55766
2,0.402,-0.32144,-0.34231
2,0.422,-0.28548,-0.13557
2,0.442,-0.23849,0.03761
2,0.462,-0.17574,0.16495
2,0.482,-0.09802,0.248
2,0.502,-0.00853,0.29404
2,0.522,0.089,0.31127
2,0.542,0.19102,0.30756
2,0.562,0.29432,0.29024
2,0.582,0.39605,0.26593
2,0.602,0.49386,0.24021
2,0.622,0.58591,0.21732
2,0.642,0.67095,0.20003
2,0.662,0.7482,0.1897
2,0.682,0.8173,0.18663
2,0.702,0.87814,0.19036
2,0.722,0.9308,0.20007
2,0.742,0.97546,0.21476
2,0.762,1.01231,0.23346
2,0.782,1.04155,0.25529
2,0.802,1.06336,0.27945
2,0.822,1.07794,0.30525
2,0.842,1.08547,0.33207
2,0.862,1.08611,0.35931
2,0.882,1.08008,0.38634
2,0.902,1.0676,0.41252
2,0.922,1.04891,0.43714
2,0.942,1.02431,0.4594
2,0.962,0.99415,0.47846
2,0.982,0.95879,0.4934
3,0.002,-2.60339,-1.65384
3,0.022,-2.6001,-1.6647
3,0.042,-2.59205,-1.69109
3,0.062,-2.57969,-1.73149
3,0.082,-2.56347,-1.78444
3,0.102,-2.54382,-1.84859
3,0.122,-2.52111,-1.92274
3,0.142,-2.49565,-2.00583
3,0.162,-2.46767,-2.09695
3,0.182,-2.43729,-2.19528
3,0.202,-2.40448,-2.30009
3,0.222,-2.36904,-2.41065
3,0.242,-2.33053,-2.52617
3,0.262,-2.28814,-2.64573
3,0.282,-2.24074,-2.76821
3,0.302,-2.18683,-2.89235
3,0.322,-2.12482,-3.01693
3,0.342,-2.05341,-3.14119
3,0.362,-1.97204,-3.26527
3,0.382,-1.88106,-3.39042
3,0.402,-1.78155,-3.51889
3,0.422,-1.67502,-3.65355
3,0.442,-1.56295,-3.79739
3,0.462,-1.44648,-3.95328
3,0.482,-1.32628,-4.12377
3,0.502,-1.20244,-4.31122
3,0.522,-1.07449,-4.51801
3,0.542,-0.94143,-4.74681
3,0.562,-0.80183,-5.00074
3,0.582,-0.65403,-5.28293
3,0.602,-0.49724,-5.59351
3,0.622,-0.3351,-5.91922
3,0.642,-0.18083,-6.21849
3,0.662,-0.04914,-6.44602
3,0.682,0.05822,-6.59615
3,0.702,0.14635,-6.68508
3,0.722,0.21968,-6.728
3,0.742,0.28098,-6.73565
3,0.762,0.33205,-6.71584
3,0.782,0.37428,-6.67497
3,0.802,0.40899,-6.61881
3,0.822,0.43757,-6.55288
3,0.842,0.46145,-6.48245
3,0.862,0.48195,-6.41215
3,0.882,0.50011,-6.34558
3,0.902,0.51654,-6.28506
3,0.922,0.53148,-6.2317
3,0.942,0.54487,-6.18567
3,0.962,0.55646,-6.14661
3,0.982,0.56592,-6.11385
4,0.002,2.78375,0.07125
4,0.022,2.78071,0.07593
4,0.042,2.77347,0.08635
4,0.062,2.76245,0.10117
4,0.082,2.74787,0.11961
4,0.102,2.72983,0.14121
4,0.122,2.70835,0.16576
4,0.142,2.68337,0.19314
4,0.162,2.65481,0.22335
4,0.182,2.62253,0.25636
4,0.202,2.58639,0.29218
4,0.222,2.54625,0.33075
4,0.242,2.50195,0.37191
4,0.262,2.45334,0.41544
4,0.282,2.40028,0.46097
4,0.302,2.34264,0.50798
4,0.322,2.28032,0.5558
4,0.342,2.21323,0.60355
4,0.362,2.14134,0.65018
4,0.382,2.06463,0.6944
4,0.402,1.98319,0.7347
4,0.422,1.89717,0.76936
4,0.442,1.80688,0.79638
4,0.462,1.71278,0.81356
4,0.482,1.61554,0.81847
4,0.502,1.51608,0.80856
4,0.522,1.41558,0.78122
4,0.542,1.31542,0.73401
4,0.562,1.21699,0.66501
4,0.582,1.12144,0.57341
4,0.602,1.02911,0.46071
4,0.622,0.93878,0.33223
4,0.642,0.84717,0.19839
4,0.662,0.74948,0.07334
4,0.682,0.64134,-0.02994
4,0.702,0.52062,-0.10412
4,0.722,0.38774,-0.14811
4,0.742,0.24493,-0.16539
4,0.762,0.09545,-0.16219
4,0.782,-0.05706,-0.14617
4,0.802,-0.20899,-0.1251
4,0.822,-0.35725,-0.10563
4,0.842,-0.49949,-0.09236
4,0.862,-0.63419,-0.08756
4,0.882,-0.76057,-0.09153
4,0.902,-0.87834,-0.10325
4,0.922,-0.98755,-0.12112
4,0.942,-1.08834,-0.1435
4,0.962,-1.18086,-0.16904
4,0.982,-1.26521,-0.19684
5,0.002,1.91629,1.93499
5,0.022,1.91005,1.94374
5,0.042,1.89439,1.96498
5,0.062,1.86945,1.99728
5,0.082,1.83529,2.03901
5,0.102,1.79178,2.08845
5,0.122,1.73867,2.14371
5,0.142,1.67553,2.20278
5,0.162,1.6018,2.26347
5,0.182,1.51682,2.32342
5,0.202,1.41993,2.38005
5,0.222,1.31061,2.43068
5,0.242,1.18864,2.47248
5,0.262,1.05431,2.50262
5,0.282,0.9086,2.51828
5,0.302,0.75335,2.51672
5,0.322,0.59145,2.49529
5,0.342,0.42686,2.45152
5,0.362,0.26464,2.38331
5,0.382,0.11074,2.2891
5,0.402,-0.02864,2.16802
5,0.422,-0.14791,2.01982
5,0.442,-0.24285,1.84448
5,0.462,-0.31102,1.64172
5,0.482,-0.35157,1.41044
5,0.502,-0.3648,1.14861
5,0.522,-0.35205,0.85431
5,0.542,-0.31729,0.5311
5,0.562,-0.27218,0.20348
5,0.582,-0.23735,-0.07809
5,0.602,-0.22492,-0.28451
5,0.622,-0.23221,-0.42552
5,0.642,-0.25289,-0.51896
5,0.662,-0.28193,-0.5782
5,0.682,-0.31577,-0.61227
5,0.702,-0.35183,-0.62754
5,0.722,-0.38819,-0.62875
5,0.742,-0.42341,-0.61963
5,0.762,-0.45633,-0.60316
5,0.782,-0.48607,-0.58177
5,0.802,-0.51196,-0.55741
5,0.822,-0.53348,-0.53159
5,0.842,-0.55029,-0.50542
5,0.862,-0.56219,-0.47964
5,0.882,-0.56909,-0.45466
5,0.902,-0.57101,-0.43066
5,0.922,-0.56806,-0.40756
5,0.942,-0.5604,-0.38517
5,0.962,-0.54827,-0.36319
5,0.982,-0.53192,-0.3413
6,0.002,0.23974,-0.98457
6,0.022,0.2364,-0.97265
6,0.042,0.22841,-0.94416
6,0.062,0.21627,-0.90107
6,0.082,0.20045,-0.84518
6,0.102,0.1814,-0.7783
6,0.122,0.15964,-0.7024
6,0.142,0.13585,-0.61981
6,0.162,0.11087,-0.53328
6,0.182,0.08571,-0.44597
6,0.202,0.06149,-0.36125
6,0.222,0.03926,-0.28225
6,0.242,0.01985,-0.21144
6,0.262,0.00377,-0.15028
6,0.282,-0.00881,-0.09924
6,0.302,-0.01801,-0.05797
6,0.322,-0.02412,-0.02562
6,0.342,-0.02752,-0.00107
6,0.362,-0.02862,0.01685
6,0.382,-0.02782,0.0293
6,0.402,-0.02549,0.03735
6,0.422,-0.02199,0.04193
6,0.442,-0.01762,0.04388
6,0.462,-0.01263,0.04391
6,0.482,-0.00725,0.04258
6,0.502,-0.00167,0.04039
6,0.522,0.00396,0.03771
6,0.542,0.0095,0.03484
6,0.562,0.01485,0.03198
6,0.582,0.01994,0.02929
6,0.602,0.0247,0.02687
6,0.622,0.02909,0.02478
6,0.642,0.03308,0.02303
6,0.662,0.03664,0.02164
6,0.682,0.03977,0.02056
6,0.702,0.04245,0.01978
6,0.722,0.04469,0.01924
6,0.742,0.04649,0.01891
6,0.762,0.04786,0.01872
6,0.782,0.0488,0.01864
6,0.802,0.04932,0.01863
6,0.822,0.04945,0.01863
6,0.842,0.04918,0.01862
6,0.862,0.04854,0.01857
6,0.882,0.04754,0.01845
6,0.902,0.04619,0.01825
6,0.922,0.04453,0.01794
6,0.942,0.04256,0.01751
6,0.962,0.0403,0.01697
6,0.982,0.03777,0.01631
7,0.002,0.78589,2.49577
7,0.022,0.7789,2.49595
7,0.042,0.7614,2.4962
7,0.062,0.73375,2.49607
7,0.082,0.69635,2.49478
7,0.102,0.64971,2.4914
7,0.122,0.59446,2.48478
7,0.142,0.53137,2.47366
7,0.162,0.46143,2.45667
7,0.182,0.38586,2.43242
7,0.202,0.30613,2.39951
7,0.222,0.22397,2.35659
7,0.242,0.14138,2.30242
7,0.262,0.06055,2.23593
7,0.282,-0.01623,2.15619
7,0.302,-0.08671,2.06247
7,0.322,-0.14881,1.95417
