time,theta,omega,ctrl
2.942,1.44042,0.0,0.52151
2.962,1.44042,0.0,0.52151
2.982,1.44042,0.0,0.52151
3.002,1.44042,0.0,0.52151
3.022,1.44042,0.0,0.52151
3.042,1.44042,0.0,0.52151
3.062,1.44042,0.0,0.52151
3.082,1.44042,0.0,0.52151
3.102,1.44042,0.0,0.52151
3.122,1.44042,0.0,0.52151
3.142,1.44042,0.0,0.52151
3.162,1.44042,0.0,0.52151
3.182,1.44042,0.0,0.52151
3.202,1.44042,0.0,0.52151
3.222,1.44042,0.0,0.52151
3.242,1.44042,0.0,0.52151
3.262,1.44042,0.0,0.52151
3.282,1.44042,0.0,0.52151
3.302,1.44042,0.0,0.52151
3.322,1.44042,0.0,0.52151
3.342,1.44042,0.0,0.52151
3.362,1.44042,0.0,0.52151
3.382,1.44042,0.0,0.52151
3.402,1.44042,0.0,0.52151
3.422,1.44042,0.0,0.52151
3.442,1.44042,0.0,0.52151
3.462,1.44042,0.0,0.52151
3.482,1.44042,0.0,0.52151
3.502,1.44042,0.0,0.52151
3.522,1.44042,0.0,0.52151
3.542,1.44042,0.0,0.52151
3.562,1.44042,0.0,0.52151
3.582,1.44042,0.0,0.52151
3.602,1.44042,0.0,0.52151
3.622,1.44042,0.0,0.52151
3.642,1.44042,0.0,0.52151
3.662,1.44042,0.0,0.52151
3.682,1.44042,0.0,0.52151
3.702,1.44042,0.0,0.52151
3.722,1.44042,0.0,0.52151
3.742,1.44042,0.0,0.52151
3.762,1.44042,0.0,0.52151
3.782,1.44042,0.0,0.52151
3.802,1.44042,0.0,0.52151
3.822,1.44042,0.0,0.52151
3.842,1.44042,0.0,0.52151
3.862,1.44042,0.0,0.52151
3.882,1.44042,0.0,0.52151
3.902,1.44042,0.0,0.52151
3.922,1.44042,0.0,0.52151
3.942,1.44042,0.0,0.52151
3.962,1.44042,0.0,0.52151
3.982,1.44042,0.0,0.52151
4.002,1.44042,0.0,0.52151
4.022,1.44042,0.0,0.52151
4.042,1.44042,0.0,0.52151
4.062,1.44042,0.0,0.52151
4.082,1.44042,0.0,0.52151
4.102,1.44042,0.0,0.52151
4.122,1.44042,0.0,0.52151
4.142,1.44042,0.0,0.52151
4.162,1.44042,0.0,0.52151
4.182,1.44042,0.0,0.52151
4.202,1.44042,0.0,0.52151
4.222,1.44042,0.0,0.52151
4.242,1.44042,0.0,0.52151
4.262,1.44042,0.0,0.52151
4.282,1.44042,0.0,0.52151
4.302,1.44042,0.0,0.52151
4.322,1.44042,0.0,0.52151
4.342,1.44042,0.0,0.52151
4.362,1.44042,0.0,0.52151
4.382,1.44042,0.0,0.52151
4.402,1.44042,0.0,0.52151
4.422,1.44042,0.0,0.52151
4.442,1.44042,0.0,0.52151
4.462,1.44042,0.0,0.52151
4.482,1.44042,0.0,0.52151
4.502,1.44042,0.0,0.52151
4.522,1.44042,0.0,0.52151
4.542,1.44042,0.0,0.52151
4.562,1.44042,0.0,0.52151
4.582,1.44042,0.0,0.52151
4.602,1.44042,0.0,0.52151
4.622,1.44042,0.0,0.52151
