time,bx,by,bz,qw,qx,qy,qz,drive,steer,stage,lift1,lift2,tilt,reach,px,py,pz,rel_x,rel_y,rel_z
0.0005,-4.439175593286145e-07,-7.269363700832274e-10,-4.772305638194308e-08,0.9999999999999978,-1.1305188413553425e-08,6.488949278263546e-08,-8.820162148791531e-10,-2.0,0.0,0.0,0,0,0.0,0.0,-1.5,0.0,0.35,-2.0,0.0,0.45
0.020500000000000015,-0.0003042348595312709,2.2746507808562547e-07,-1.248849424160634e-05,0.9999999998690233,-3.279873133252115e-07,1.6181524385511992e-05,6.416466164061012e-08,-1.999999794416392,-1.233501647490698e-07,0.0,0,0,0.0,0.0,-1.5,-3.015232593880642e-20,0.34999039309283364,-1.9997401995785073,5.1258554629712714e-08,0.4505508742806463
0.04050000000000003,-0.0011054662409053482,3.5627032063813784e-07,-2.5911161713631726e-05,0.9999999993979741,-2.3473348774508907e-07,3.468139468735801e-05,1.0942849715543577e-06,-1.9999957697450448,-2.5381529731305363e-06,0.0,0,0,0.0,0.0,-1.5,1.354338680440482e-20,0.34997890611295995,-1.9989817017088203,3.806044209506539e-06,0.4512006199357266
0.06050000000000005,-0.0023387013103634926,4.114063989856973e-07,-3.468223843743005e-05,0.9999999989513425,-1.2153799623788695e-07,4.5702804610778683e-05,2.9248377412528964e-06,-1.9999885148960699,-6.89106235807202e-06,0.0,0,0,0.0,0.0,-1.5,-2.4952488598195658e-20,0.34997164110086065,-1.9977750211496628,1.0347621399249767e-05,0.45145181272405854
0.08050000000000006,-0.003955692790835942,4.469107899712126e-07,-3.968538789197226e-05,0.9999999986946073,-5.290860964228483e-08,5.081526663992946e-05,5.347135138270037e-06,-1.999978878691361,-1.2672785183376334e-05,0.0,0,0,0.0,0.0,-1.5,-2.777201541227848e-20,0.34996768353041646,-1.9961720577517614,1.8670169779395803e-05,0.4514589569746416
0.10050000000000008,-0.005914601629252039,4.70795802511826e-07,-4.2472602149144676e-05,0.999999998578628,-1.9593873227623987e-08,5.26746536567798e-05,8.253666547693293e-06,-1.999967297109035,-1.9621734579011728e-05,0.0,0,0,0.0,0.0,-1.5,2.194509857999026e-20,0.3499656466833704,-1.9942199979004585,2.8277440273399996e-05,0.45141789812863575
0.1205000000000001,-0.008177233130602384,4.799268308743296e-07,-4.4109880229898025e-05,0.9999999985267082,-6.222169243939572e-09,5.3034871255068255e-05,1.1570955355355533e-05,-1.9999540659055528,-2.756045666831852e-05,0.0,0,0,0.0,0.0,-1.5,3.3027781121169933e-20,0.34996462423810876,-1.9919606262392249,3.8867991997773245e-05,0.4513940817856289
0.1405000000000001,-0.01070876434629171,4.69368074944972e-07,-4.5166574998569294e-05,0.9999999984902405,-2.6973472978752373e-09,5.279508774431008e-05,1.5238043014436643e-05,-1.99993942983009,-3.63421019459409e-05,0.0,0,0,0.0,0.0,-1.5,9.082331388102776e-20,0.3499641169513933,-1.9894307039633676,5.022654619420251e-05,0.45138788151493076
0.16050000000000011,-0.013477833359503763,4.342339366128291e-07,-4.591642668572504e-05,0.9999999984450387,-3.59024202792309e-09,5.235656106251302e-05,1.9201913565697753e-05,-1.9999236016648476,-4.583900109143002e-05,0.0,0,0,0.0,0.0,-1.5,1.639781100198376e-19,0.34996386666749707,-1.9866625282053858,6.219280794776073e-05,0.4513868935141011
0.18050000000000013,-0.016456475238962015,3.700511752514662e-07,-4.648881596463829e-05,0.9999999983800008,-6.231918925730808e-09,5.188136705009178e-05,2.3416306832770357e-05,-1.9999067670883877,-5.5939746967403886e-05,0.0,0,0,0.0,0.0,-1.5,2.5670035549929387e-19,0.3499637435193156,-1.983684482911047,7.464729864656737e-05,0.4513841936505092
