time,bx,by,byaw,q3,q4,q5,px,py,pz
0.002,3.112647513070627e-06,3.196212756184396e-06,-4.7719466992234495e-09,-9.318046705066248e-06,0.00013737710901834914,-0.00018310131151297803,0.9,0.4,0.46
0.022000000000000006,0.0002037631172356827,0.00020853688183887064,-3.717396031877045e-06,-0.0005353380394513484,0.005804734244376231,0.000880737833038654,0.9,0.4,0.4578418
0.04200000000000002,0.0007074963669917644,0.0007203564499495684,-3.310824501034472e-05,-0.0014590074289134545,0.014951754644857906,0.00584084166853113,0.9,0.4,0.4517596000000001
0.06200000000000004,0.0015055563862645587,0.0015259784443376987,-0.00012073349924557625,-0.0023767997263667066,0.020617844473037283,0.009235135985068688,0.9,0.4,0.4417534
0.08200000000000006,0.002588456773077333,0.0026129335039684898,-0.00029246889172950815,-0.002838701054712585,0.0186919749325522,0.008167893096390922,0.9,0.4,0.42818458371734536
0.10200000000000008,0.003949323587960767,0.003971018993482763,-0.0005526073206722869,-0.0026342803423642933,0.010968041559439944,0.004249697101280816,0.899999999999972,0.3999999939655547,0.4252537599370339
0.1220000000000001,0.005582376835299419,0.005593039868076591,-0.0008801027619806442,-0.0018911516010733603,0.003775547644891841,0.000384181674827001,0.8999999999998506,0.39999996765378343,0.4269077252943464
0.1420000000000001,0.0074802898326199315,0.00747399603365075,-0.0012377206227434695,-0.0009817264165167025,0.0026208367909277444,-0.00038896937525599964,0.8999999999996503,0.3999999242779338,0.42832520794912465
0.16200000000000012,0.009635822451766347,0.009609311643935642,-0.0015884639126201412,-0.0003284019422429555,0.008060335629806192,0.0023772262088185064,0.8999999999994807,0.39999988755119464,0.42913442195339
0.18200000000000013,0.012042474992850521,0.011993017134150885,-0.0019109137136671436,-0.00020120696833985882,0.015542630564092799,0.006329182901876125,0.8999999999993632,0.39999986212245814,0.4295449162740173
0.20200000000000015,0.014692694159898824,0.014616742992861718,-0.002206321556494546,-0.0006023253652630558,0.0191812602638477,0.008366253634185784,0.899999999999298,0.3999998480256209,0.42973376389969525
0.22200000000000017,0.017579014096848453,0.017469930884902195,-0.002494710395071784,-0.0012848277070991773,0.01637963584009481,0.007018680282621596,0.899999999999268,0.3999998415268853,0.4298181339114508
0.2420000000000002,0.020696001284965175,0.020541076113565333,-0.002802608722810684,-0.001887552514596349,0.009651507851548119,0.00351027858694974,0.8999999999992547,0.39999983861612154,0.42985680098683965
0.2620000000000002,0.024038554519299732,0.023819351887599056,-0.003148800106056324,-0.0021139711288637266,0.004401849387958778,0.0006670041572663858,0.8999999999992485,0.3999998372870927,0.42987504402410864
0.2820000000000002,0.027600534225189335,0.027295819205699644,-0.003534932438592919,-0.0018665953038292287,0.0045995231780146485,0.0006452108823082382,0.8999999999992456,0.3999998366650497,0.4298838269653963
0.3020000000000002,0.031376090399545795,0.030963676599549312,-0.003945015449281061,-0.0012778116322673067,0.009793911049385377,0.0033075177465350745,0.8999999999992443,0.39999983636834935,0.4298881064667074
0.32200000000000023,0.03535962340404261,0.034817520759482856,-0.004353360140968481,-0.0006305632890280078,0.01570433210973605,0.006453126956635117,0.8999999999992435,0.3999998362251103,0.4298902054519364
